127.0.0.1, 2009-11-05 01:02:07, GET, /, HTTP/1.1, 303, 0.001498
127.0.0.1, 2009-11-05 01:02:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.071180
127.0.0.1, 2009-11-05 01:02:07, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.001338
127.0.0.1, 2009-11-05 01:02:08, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.001344
127.0.0.1, 2009-11-05 01:02:08, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.001468
127.0.0.1, 2009-11-05 01:02:08, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.001287
127.0.0.1, 2009-11-05 01:02:08, GET, /welcome/static/background.gif, HTTP/1.1, 200, 0.001165
127.0.0.1, 2009-11-05 01:02:08, GET, /welcome/static/header.gif, HTTP/1.1, 200, 0.001331
127.0.0.1, 2009-11-05 01:02:08, GET, /welcome/static/menu.gif, HTTP/1.1, 200, 0.001669
127.0.0.1, 2009-11-05 01:02:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001095
127.0.0.1, 2009-11-05 01:02:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000613
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.009593
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/default/index, HTTP/1.1, 200, 0.034156
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.001338
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.001281
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.004199
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000858
127.0.0.1, 2009-11-05 01:02:17, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000811
127.0.0.1, 2009-11-05 01:02:24, POST, /admin/default/index, HTTP/1.1, 303, 0.045752
127.0.0.1, 2009-11-05 01:02:25, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.112545
127.0.0.1, 2009-11-05 01:02:36, GET, /admin/default/site, HTTP/1.1, 200, 0.051119
127.0.0.1, 2009-11-05 01:02:37, POST, /admin/default/check_version, HTTP/1.1, 200, 0.670850
127.0.0.1, 2009-11-05 01:02:37, GET, /admin/default/twitter, HTTP/1.1, 200, 0.999216
127.0.0.1, 2009-11-05 01:02:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.037401
127.0.0.1, 2009-11-07 00:22:24, GET, /, HTTP/1.1, 303, 0.000927
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.289072
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000840
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000714
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/background.gif, HTTP/1.1, 200, 0.000604
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/header.gif, HTTP/1.1, 200, 0.000439
127.0.0.1, 2009-11-07 00:22:25, GET, /welcome/static/menu.gif, HTTP/1.1, 200, 0.000437
127.0.0.1, 2009-11-07 00:22:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2009-11-07 00:22:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000887
127.0.0.1, 2009-11-07 00:22:30, GET, /examples/default/index, HTTP/1.1, 200, 0.538522
127.0.0.1, 2009-11-07 00:22:30, GET, /examples/static/jquery.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2009-11-07 00:22:30, GET, /examples/static/calendar.css, HTTP/1.1, 200, 0.000494
127.0.0.1, 2009-11-07 00:22:30, GET, /examples/static/calendar.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2009-11-07 00:22:30, GET, /examples/static/styles.css, HTTP/1.1, 200, 0.000446
127.0.0.1, 2009-11-07 00:22:31, GET, /examples/static/bg.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2009-11-07 00:22:31, GET, /examples/static/web2py_logo.png, HTTP/1.1, 200, 0.000493
127.0.0.1, 2009-11-07 00:22:31, GET, /examples/static/demo.png, HTTP/1.1, 200, 0.000468
127.0.0.1, 2009-11-07 00:22:31, GET, /examples/static/kpax.png, HTTP/1.1, 200, 0.000443
127.0.0.1, 2009-11-07 00:22:35, GET, /examples/default/docs, HTTP/1.1, 200, 0.013990
127.0.0.1, 2009-11-07 00:22:41, GET, /examples/default/api, HTTP/1.1, 200, 0.019329
127.0.0.1, 2009-11-07 00:22:41, GET, /examples/static/gluon.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2009-11-07 00:23:04, GET, /examples/default/index, HTTP/1.1, 200, 0.014852
127.0.0.1, 2009-11-07 00:23:12, GET, /, HTTP/1.1, 303, 0.000390
127.0.0.1, 2009-11-07 00:23:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.013468
127.0.0.1, 2009-11-07 00:23:16, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.032908
127.0.0.1, 2009-11-07 00:23:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.013424
127.0.0.1, 2009-11-07 00:23:29, GET, /admin/default/index, HTTP/1.1, 200, 0.091014
127.0.0.1, 2009-11-07 00:23:29, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2009-11-07 00:23:29, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000507
127.0.0.1, 2009-11-07 00:23:29, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2009-11-07 00:23:29, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000467
127.0.0.1, 2009-11-07 00:23:29, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000489
127.0.0.1, 2009-11-07 00:23:32, POST, /admin/default/index, HTTP/1.1, 303, 0.034812
127.0.0.1, 2009-11-07 00:23:32, GET, /admin/default/site, HTTP/1.1, 200, 0.038086
127.0.0.1, 2009-11-07 00:23:38, POST, /admin/default/check_version, HTTP/1.1, 200, 5.355634
127.0.0.1, 2009-11-07 00:23:45, GET, /admin/default/twitter, HTTP/1.1, 200, 12.050914
127.0.0.1, 2009-11-07 00:24:12, POST, /admin/default/site, HTTP/1.1, 200, 0.024846
127.0.0.1, 2009-11-07 00:24:18, GET, /admin/default/twitter, HTTP/1.1, 200, 6.513960
127.0.0.1, 2009-11-07 00:24:34, POST, /admin/default/site, HTTP/1.1, 303, 0.330704
127.0.0.1, 2009-11-07 00:24:35, GET, /admin/default/site, HTTP/1.1, 200, 0.027115
127.0.0.1, 2009-11-07 00:24:43, GET, /kpax/default/index, HTTP/1.1, 200, 3.359770
127.0.0.1, 2009-11-07 00:24:43, GET, /kpax/static/stone.jpg, HTTP/1.1, 200, 0.000489
127.0.0.1, 2009-11-07 00:24:43, GET, /kpax/static/kpax.jpg, HTTP/1.1, 200, 0.000535
127.0.0.1, 2009-11-07 00:24:50, GET, /admin/default/twitter, HTTP/1.1, 200, 14.826629
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/default/login, HTTP/1.1, 303, 0.022658
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/cas/login, HTTP/1.1, 200, 0.101387
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/static/jquery.js, HTTP/1.1, 200, 0.000517
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/static/ui.datepicker.js, HTTP/1.1, 200, 0.001050
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/static/ui.datepicker.css, HTTP/1.1, 200, 0.002667
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/static/metal-lock.jpg, HTTP/1.1, 200, 0.000515
127.0.0.1, 2009-11-07 00:25:04, GET, /kpax/static/title.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2009-11-07 00:25:27, GET, /kpax/cas/register, HTTP/1.1, 200, 0.038186
127.0.0.1, 2009-11-07 00:27:38, GET, /kpax/cas/register, HTTP/1.1, 200, 0.050230
127.0.0.1, 2009-11-07 00:27:38, GET, /kpax/static/jquery.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2009-11-07 00:27:38, GET, /kpax/static/ui.datepicker.css, HTTP/1.1, 304, 0.000446
127.0.0.1, 2009-11-07 00:27:38, GET, /kpax/static/ui.datepicker.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2009-11-07 00:27:38, GET, /kpax/static/metal-lock.jpg, HTTP/1.1, 304, 0.000439
127.0.0.1, 2009-11-07 00:27:38, GET, /kpax/static/title.png, HTTP/1.1, 304, 0.000434
127.0.0.1, 2009-11-07 00:27:40, GET, /kpax/cas/login, HTTP/1.1, 200, 0.040130
127.0.0.1, 2009-11-07 00:27:47, POST, /kpax/cas/login, HTTP/1.1, 303, 0.227814
127.0.0.1, 2009-11-07 00:27:47, GET, /kpax/cas/check, HTTP/1.0, 200, 0.031641
127.0.0.1, 2009-11-07 00:27:47, GET, /kpax/default/login, HTTP/1.1, 303, 0.066871
127.0.0.1, 2009-11-07 00:27:47, GET, /kpax/news/index, HTTP/1.1, 200, 0.046792
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/fisheye-menu.css, HTTP/1.1, 200, 0.000445
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/fisheye.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/news/announcement.png, HTTP/1.1, 200, 0.000489
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/news/rss.png, HTTP/1.1, 200, 0.000441
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_home_small.png, HTTP/1.1, 200, 0.000458
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_news_small.png, HTTP/1.1, 200, 0.000437
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_reunioes_small.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_folders_small.png, HTTP/1.1, 200, 0.000456
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_surveys_small.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_chats_small.png, HTTP/1.1, 200, 0.000438
127.0.0.1, 2009-11-07 00:27:48, GET, /kpax/static/main_images/main_groups_small.png, HTTP/1.1, 200, 0.000435
127.0.0.1, 2009-11-07 00:27:50, GET, /kpax/static/main_images/main_folders.png, HTTP/1.1, 200, 0.001212
127.0.0.1, 2009-11-07 00:27:51, GET, /kpax/static/main_images/main_reunioes.png, HTTP/1.1, 200, 0.000466
127.0.0.1, 2009-11-07 00:27:53, GET, /kpax, HTTP/1.1, 200, 0.023463
127.0.0.1, 2009-11-07 00:27:54, GET, /kpax/default/login, HTTP/1.1, 303, 0.029566
127.0.0.1, 2009-11-07 00:27:54, GET, /kpax/cas/login, HTTP/1.1, 303, 0.127225
127.0.0.1, 2009-11-07 00:27:54, GET, /kpax/cas/check, HTTP/1.0, 200, 0.027025
127.0.0.1, 2009-11-07 00:27:54, GET, /kpax/default/login, HTTP/1.1, 303, 0.064230
127.0.0.1, 2009-11-07 00:27:54, GET, /kpax/news/index, HTTP/1.1, 200, 0.046562
127.0.0.1, 2009-11-07 00:27:58, GET, /kpax/static/main_images/main_surveys.png, HTTP/1.1, 200, 0.000918
127.0.0.1, 2009-11-07 00:27:59, GET, /kpax/folders, HTTP/1.1, 200, 0.043317
127.0.0.1, 2009-11-07 00:27:59, GET, /kpax/static/folder/folder.png, HTTP/1.1, 200, 0.000446
127.0.0.1, 2009-11-07 00:28:02, GET, /kpax/surveys, HTTP/1.1, 200, 0.060671
127.0.0.1, 2009-11-07 00:28:03, GET, /kpax/static/surveys/survey.png, HTTP/1.1, 200, 0.000446
127.0.0.1, 2009-11-07 00:28:03, GET, /kpax/static/main_images/main_chats.png, HTTP/1.1, 200, 0.000446
127.0.0.1, 2009-11-07 00:28:04, GET, /kpax/chats, HTTP/1.1, 200, 0.046134
127.0.0.1, 2009-11-07 00:28:04, GET, /kpax/static/chat/chat.png, HTTP/1.1, 200, 0.000492
127.0.0.1, 2009-11-07 00:28:04, GET, /kpax/static/main_images/main_groups.png, HTTP/1.1, 200, 0.001298
127.0.0.1, 2009-11-07 00:28:05, GET, /kpax/groups, HTTP/1.1, 200, 0.088182
127.0.0.1, 2009-11-07 00:28:06, GET, /kpax/static/group/group.png, HTTP/1.1, 200, 0.000487
127.0.0.1, 2009-11-07 00:28:11, GET, /kpax/static/main_images/main_news.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2009-11-07 00:28:12, GET, /kpax/news, HTTP/1.1, 200, 0.035203
127.0.0.1, 2009-11-07 00:28:16, GET, /kpax/cas/edit_profile, HTTP/1.1, 200, 0.038758
127.0.0.1, 2009-11-07 00:28:21, GET, /kpax/surveys, HTTP/1.1, 200, 0.050700
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/surveys, HTTP/1.1, 200, 0.043296
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/jquery.js, HTTP/1.1, 304, 0.000468
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/ui.datepicker.js, HTTP/1.1, 304, 0.000484
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/ui.datepicker.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/fisheye-menu.css, HTTP/1.1, 304, 0.000430
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/fisheye.js, HTTP/1.1, 304, 0.000462
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/surveys/survey.png, HTTP/1.1, 304, 0.000453
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/title.png, HTTP/1.1, 200, 0.000467
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_home_small.png, HTTP/1.1, 304, 0.000513
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_news_small.png, HTTP/1.1, 304, 0.000439
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_reunioes_small.png, HTTP/1.1, 304, 0.000407
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_folders_small.png, HTTP/1.1, 304, 0.000404
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_surveys_small.png, HTTP/1.1, 304, 0.000422
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_chats_small.png, HTTP/1.1, 304, 0.000408
127.0.0.1, 2009-11-07 00:29:51, GET, /kpax/static/main_images/main_groups_small.png, HTTP/1.1, 304, 0.000415
127.0.0.1, 2009-11-07 00:29:53, GET, /kpax/static/main_images/main_folders.png, HTTP/1.1, 304, 0.001197
127.0.0.1, 2009-11-07 00:29:54, GET, /kpax/static/main_images/main_reunioes.png, HTTP/1.1, 304, 0.000416
127.0.0.1, 2009-11-07 00:30:32, GET, /kpax/static/main_images/main_folders.png, HTTP/1.1, 304, 0.000425
127.0.0.1, 2009-11-07 00:30:34, GET, /kpax/static/main_images/main_surveys.png, HTTP/1.1, 304, 0.000468
127.0.0.1, 2009-11-07 00:32:43, GET, /kpax/static/main_images/main_chats.png, HTTP/1.1, 304, 0.000592
127.0.0.1, 2009-11-07 00:32:44, GET, /kpax/static/main_images/main_groups.png, HTTP/1.1, 304, 0.001158
127.0.0.1, 2009-11-07 00:32:51, GET, /kpax/static/main_images/main_news.png, HTTP/1.1, 304, 0.001149
127.0.0.1, 2009-11-07 00:32:51, GET, /kpax/static/main_images/main_home.png, HTTP/1.1, 200, 0.000493
127.0.0.1, 2009-11-07 00:32:52, GET, /kpax, HTTP/1.1, 200, 0.028372
127.0.0.1, 2009-11-07 00:33:00, GET, /, HTTP/1.1, 303, 0.000476
127.0.0.1, 2009-11-07 00:33:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.011937
127.0.0.1, 2009-11-07 00:33:06, GET, /admin/default/index, HTTP/1.1, 303, 0.003922
127.0.0.1, 2009-11-07 00:33:06, GET, /admin/default/site, HTTP/1.1, 200, 0.039147
127.0.0.1, 2009-11-07 00:33:07, GET, /admin/default/twitter, HTTP/1.1, 200, 1.137896
127.0.0.1, 2009-11-07 00:33:08, GET, /admin/default/design/kpax, HTTP/1.1, 200, 0.128643
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/default/edit/kpax/models/0.py, HTTP/1.1, 200, 0.045060
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/ajax_editor.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000493
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000420
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000482
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000444
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000444
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000436
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000455
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000404
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000407
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000428
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000410
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000456
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000497
127.0.0.1, 2009-11-07 00:33:15, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000436
127.0.0.1, 2009-11-07 00:33:16, GET, /admin/default/edit/kpax/models/cas.py, HTTP/1.1, 200, 0.028452
127.0.0.1, 2009-11-07 00:33:17, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000399
127.0.0.1, 2009-11-07 00:33:25, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.015393
127.0.0.1, 2009-11-07 00:33:27, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.016248
127.0.0.1, 2009-11-07 00:34:00, GET, /admin/default/edit/kpax/models/db.py, HTTP/1.1, 200, 0.028097
127.0.0.1, 2009-11-07 00:34:00, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000414
127.0.0.1, 2009-11-07 00:34:10, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.017713
127.0.0.1, 2009-11-07 00:34:20, GET, /admin/default/edit/kpax/models/email.py, HTTP/1.1, 200, 0.027748
127.0.0.1, 2009-11-07 00:34:20, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000441
127.0.0.1, 2009-11-07 00:34:39, GET, /admin/default/edit/kpax/controllers/access.py, HTTP/1.1, 200, 0.023116
127.0.0.1, 2009-11-07 00:34:39, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000455
